"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0V630","2020-02-15 00:00:00","19.000","66.000","1.400","22.500","0.900","1016.700","","0.000","-99.000","-99.000","-99.000","27.700","","20.500",""
"C0D650","2020-02-15 00:00:00","97.000","89.000","2.200","18.100","0.920","1007.500","","0.000","-99.000","-99.000","-99.000","23.900","","17.200",""
"C0K510","2020-02-15 00:00:00","10.000","2.000","1.000","20.500","0.910","1015.000","","0.000","-99.000","-99.000","-99.000","27.500","","20.300",""
"C0V360","2020-02-15 00:00:00","94.000","0.000","0.000","20.200","0.980","1005.900","","0.500","-99.000","-99.000","-99.000","30.700","","16.200",""
"C0M780","2020-02-15 00:00:00","30.000","57.000","0.500","21.100","0.900","1013.700","","0.000","-99.000","-99.000","-99.000","28.200","","20.400",""
"C0K530","2020-02-15 00:00:00","12.000","42.000","1.200","20.600","0.900","1015.600","","0.000","-99.000","-99.000","-99.000","24.900","","19.900",""
"C0V750","2020-02-15 00:00:00","50.000","54.000","1.700","22.500","0.940","1012.000","","0.500","-99.000","-99.000","-99.000","29.200","","21.300",""
"C0M830","2020-02-15 00:00:00","540.000","0.000","0.000","19.600","0.980","957.600","","2.000","-99.000","-99.000","-99.000","27.300","","15.500",""
"C0T790","2020-02-15 00:00:00","2830.000","269.000","2.100","8.900","0.730","729.800","","0.000","-99.000","-99.000","-99.000","15.800","","5.800",""
"C0S730","2020-02-15 00:00:00","110.000","190.000","4.900","24.000","0.920","1004.800","","0.500","-99.000","-99.000","-99.000","26.300","","22.700",""
"C0F0D0","2020-02-15 00:00:00","3171.000","148.000","4.900","3.900","0.930","700.300","","0.000","-99.000","-99.000","-99.000","11.700","","2.100",""
"C0F9X0","2020-02-15 00:00:00","166.000","11.000","4.100","20.000","0.940","998.300","","0.000","-99.000","-99.000","-99.000","27.500","","18.500",""
"C0F9Q0","2020-02-15 00:00:00","149.000","253.000","1.000","19.600","0.960","999.800","","0.000","-99.000","-99.000","-99.000","27.300","","17.600",""
"C0E780","2020-02-15 00:00:00","160.000","0.000","0.200","18.600","0.990","999.700","","0.000","-99.000","-99.000","-99.000","28.100","","16.700",""
